date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:31	24338/24338	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Thu,%2021%20Aug%202025%2010:30:26%20GMT	https://yeezy.com/robots.txt		(from )
18:30:32	593611/593611	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Aug%202025%2010:30:31%20GMT	https://yeezy.com/	yeezy.com/index.html	(from )
18:30:32	1134/1134	---M--	200	added ('OK')	image/png	etag:%22397226a8e413fa266f4157b3fa30924b%22	https://yeezy.com/favicon.png	yeezy.com/favicon.png	(from https://yeezy.com/)
18:30:33	429/429	---MCZ	200	added ('OK')	text/css	etag:W/%22b61ccae72a74d54aadf9f7258a3a58cd%22	https://yeezy.com/_app/immutable/assets/products.Di_nI0nF.css	yeezy.com/_app/immutable/assets/products.Di_nI0nF.css	(from https://yeezy.com/)
18:30:33	77268/77268	---MCZ	200	added ('OK')	text/css	etag:W/%2206213b00f7d16d04387de0b66b0c525f%22	https://yeezy.com/_app/immutable/assets/0.CBnQhRXG.css	yeezy.com/_app/immutable/assets/0.CBnQhRXG.css	(from https://yeezy.com/)
18:30:33	14945/14945	---MCZ	200	added ('OK')	text/css	etag:W/%22d2a657fa3f27dda227d6752123f5916c%22	https://yeezy.com/_app/immutable/assets/CheckoutForm.Du7GcRIH.css	yeezy.com/_app/immutable/assets/CheckoutForm.Du7GcRIH.css	(from https://yeezy.com/)
18:30:33	10890/10890	---MCZ	200	added ('OK')	text/css	etag:W/%220640f67169a71a6f7f6c2eb8174302b7%22	https://yeezy.com/_app/immutable/assets/3.DeZUwSi2.css	yeezy.com/_app/immutable/assets/3.DeZUwSi2.css	(from https://yeezy.com/)
18:30:34	24449/24449	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Aug%202025%2015:54:23%20GMT	https://yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fast,slow-connection-quality=80,fit=pad,gravity=center/https://cdn.swell.store/yzy-prod/68656809cc4c290012a6e3c6/5263d1496b4add2aaa86548ab63ed5da/ts-01-white-1-1_0a1606c3-06c1-47d2-82ea-2c1396dec414.png	yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fa/https_/cdn.swell.store/yzy-prod/68656809cc4c290012a6e3c6/5263d1496b4add2aaa86548ab63ed5da/ts-01-white-1-1_0a1606c3-06c1-47d2-82ea-2c1396dec414.jpg	(from https://yeezy.com/)
18:30:34	390/390	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Aug%202025%2017:31:11%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/686575e7c6d40c0012a1958e/75ec3d19dd0d15b423c55339df952d5f/ts-02-white-1-1copy.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/686575e7c6d40c0012a1958e/75ec3d19dd0d15b423c55339df952d5f/ts-02-white-1-1copy.png	(from https://yeezy.com/)
18:30:34	25790/25790	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Aug%202025%2017:31:11%20GMT	https://yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fast,slow-connection-quality=80,fit=pad,gravity=center/https://cdn.swell.store/yzy-prod/686575e7c6d40c0012a1958e/75ec3d19dd0d15b423c55339df952d5f/ts-02-white-1-1copy.png	yeezy.com/cdn-cgi/image/width=375,height=375,quality=100,compression=fa/https_/cdn.swell.store/yzy-prod/686575e7c6d40c0012a1958e/75ec3d19dd0d15b423c55339df952d5f/ts-02-white-1-1copy.jpg	(from https://yeezy.com/)
18:30:35	411/411	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Aug%202025%2011:46:56%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/6865785051273b00128b344f/57ce120a55caf10abd4aa96b4687fc24/hd-06-white.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/6865785051273b00128b344f/57ce120a55caf10abd4aa96b4687fc24/hd-06-white.png	(from https://yeezy.com/)
18:30:36	420/420	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Aug%202025%2004:44:53%20GMT	https://yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https://cdn.swell.store/yzy-prod/68657cdc7c31ed0012252ae9/4f1440b0674bb44b73ac859e26ffe47e/wb-01-white-1.png	yeezy.com/cdn-cgi/image/width=16,compression=fast,format=webp,slow-connection-quality=0/https_/cdn.swell.store/yzy-prod/68657cdc7c31ed0012252ae9/4f1440b0674bb44b73ac859e26ffe47e/wb-01-white-1.png	(from https://yeezy.com/)
